1,机组,实现并行机制的途径,时间重叠、资源重复、时间+资源、资源共享
2,机组,资源共享是一种（）方式，是一种软件方法，使多个任务按一定时间顺序轮流使用同一套硬件设备,软件
3,机组,交叉开关网络是什么，有什么优势和劣势,类似五子棋谱，优势：是无阻塞网络、建立连接时不需要事先规划。劣势：交叉开关网络的复杂度随网络端口数量的平方级增
4,机组,Omega网络开关个数计算,n个输入的Omega网络需要log2n级2×2开关；每级n/2个开关模块； 共需(log2n)×(n/2)个开关。
5,机组,环形网络最大的特点是,具有对称性，从任何结点看到的拓扑结构都是一样的，可以负载均衡
6,机组,UMA和NUMA的意思,Uniform Memory Access、Non-Uniform Memory Access
7,机组,COMA的意思,Cache Only Memory Access
8,机组,SMP是什么？,如果在一个系统中，每个CPU都能平等地访问所有的内存模块和输入/输出设备，而且在操作系统看来这些CPU是可以互换的，那么这种系统就是对称多处理器系统（Symmetric Multi-Processor，SMP）
9,机组,UMA、NUMA、SMP是哪个并行层次的概念,多处理器系统
10,机组,多计算机系统是什么？,由独立的计算机作为节点、通过高速互连网络相互连接而构成的系统
11,机组,MMP是什么，是什么并行层次的概念,大规模并行处理器，多计算机结构
12,机组,MMP系统的特点,MPP系统使用高性能的定制的高速互连网络及网络接口，可以在低延迟和高带宽的条件下传递消息。
13,数学,无穷级数审敛法的适用条件,正项级数
14,数学,偶数项级数和奇数项级数收敛，是原级数收敛的什么条件？,充要条件
15,数学,fx展开成x-1的幂级数的步骤（历年真题p131）,最后一步除法老忘
41,数学,A可以分解为关于（特征值，特征向量）的表达式,A=特征值*特征向量的丈量积之和
42,机组,存取周期和总线周期的区别,存取周期对于存储器而言，两次存取操作最少等待时间，总线周期对于CPU而言，CPU执行一次内存存取操作数据传输需要的时间，DMA周期窃取方式窃取的是总线周期
43,英语作文,提高效率,enhance efficiency 
44,英语作文,便捷,convenience 
45,数学,求曲面在XoY面投影时⚠️,记得联立z=0
78,数据结构,什么遍历可以找到一个结点到它祖先的路径,后序遍历，因为访问到结点时，他的祖先肯定还没有出栈，就是未被访问
79,机组,布斯乘法运算注意事项,1.计算进位时进位看清楚！2.演算时使用原数据的原码进行乘法，再前边添加符号位转为补码后验证
80,机组,使用同步控制方式的总线总线长度与总线频率的关系,总线频率越高，总线长度越短
81,机组,轮询总线仲裁轮询计数可以由软件程序控制,若循环计数则各设备优先级相同，若使用计数查询顺序，则优先级可以调整
90,英语作文,我相信,I'm convinced that
91,英语作文,非常,exceedingly
92,英语作文,表示什么什么是什么什么的原因,It's reason that cause sb to sth
93,英语作文,许多,a host of
94,英语作文,显然地,Apparently
95,英语作文,xxx以xxx为特点,be characterized by
96,英语作文,让我能够获取到足够的知识,It's xxx that enable me to accumulated adequate knowledge
97,英语作文,我认为,I deem that
98,英语作文,典型的例子就是右图的场景,The typical example is the scenario in the right picture
99,英语作文,氛围,phenomenon
100,英语作文,正如我们看到的，这里展示了一个简单但典型的图片,"As we can see, here demonstrates one concise but symbolical picture  "
101,英语作文,最后几个汉字在图片的下方，说xxx,"Finally，several Chinese characters can be noticed below the picture, which say that xxx "
102,英语作文,上面的场景可以联系到两种对待xxx不同的态度,"Such a scene above, Apparently, can be associated with two distinct attitude towards xxx"
103,英语作文,不得不承认,Admittedly
